Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c
a0ROZ000009Fcqz2AC,Nivolumab (monotherapy),A-05298,Opdivo®,Nivolumab (monotherapy),BRISTOL-MYERS SQUIBB (NZ) LIMITED,"Oesophageal squamous cell carcinoma, advanced, 2nd line",Seeking Clinical Advice,Nivolumab (monotherapy) (Opdivo®),/apptracker/s/application-public/a10OZ000004a3ec,Oncology Agents and Immunosuppressants
a0ROZ000009SFuz2AG,Nivolumab Ipilimumab,A-05058,Opdivo Yervoy,Nivolumab Ipilimumab,BRISTOL-MYERS SQUIBB (NZ) LIMITED,"Mesothelioma, unresectable, malignant (sarcomatoid or biphasic subtypes)",Under Assessment,Nivolumab Ipilimumab (Opdivo Yervoy),/apptracker/s/application-public/a10OZ000004Qm6j,Oncology Agents and Immunosuppressants
a0ROZ00000DKzXn2AL,Nivolumab Ipilimumab,A-05058,Opdivo Yervoy,Nivolumab Ipilimumab,BRISTOL-MYERS SQUIBB (NZ) LIMITED,"Mesothelioma, unresectable, malignant",Seeking Clinical Advice,Nivolumab Ipilimumab (Opdivo Yervoy),/apptracker/s/application-public/a10OZ000002ERaH,Oncology Agents and Immunosuppressants
a0ROZ000008NyGb2AK,Nivolumab with ipilimumab,A-00481,,Nivolumab with ipilimumab,Bristol-Myers Squibb,"Melanoma, unresectable or metastatic",Under Assessment,Nivolumab with ipilimumab,/apptracker/s/application-public/a102P000008puXS,Oncology Agents and Immunosuppressants
a0ROZ000004CYd82AG,Obinutuzumab,A-00658,,Obinutuzumab,Roche,"Follicular lymphoma, 1st line",Decision,Obinutuzumab,/apptracker/s/application-public/a102P000008puZn,Oncology Agents and Immunosuppressants
a0R2P000000XgIwUAK,Obinutuzumab,A-00343,,Obinutuzumab,Roche,Chronic lymphocytic leukaemia,Decision,Obinutuzumab,/apptracker/s/application-public/a102P000008ptyu,Oncology Agents and Immunosuppressants
a0R2P000000SCZfUAO,Octreotide LAR (somatostatin analogue),A-00292,,Octreotide LAR (somatostatin analogue),Subcommittee recommendation,Acromegaly pre-operatively in preparation for pituitary surgery,Decision,Octreotide LAR (somatostatin analogue),/apptracker/s/application-public/a102P000008ptsF,Oncology Agents and Immunosuppressants
a0R2P000000WvQXUA0,Olaparib,A-03156,LYNPARZA®,Olaparib,ASTRAZENECA LIMITED,"Ovarian, fallopian tube or primary peritoneal cancer, newly diagnosed, BRCA-mutated, platinum sensitive - maintenance",Decision,Olaparib (LYNPARZA®),/apptracker/s/application-public/a102P00000AHK3i,Oncology Agents and Immunosuppressants
a0ROZ0000006gvp2AA,Olaparib,A-00548,Lynparza,Olaparib,AstraZeneca,"Ovarian cancer, relapsed, BRCA-mutated, platinum sensitive",Decision,Olaparib (Lynparza),/apptracker/s/application-public/a102P000008pufS,Oncology Agents and Immunosuppressants
a0ROZ00000BQLti2AH,Osimertinib,A-00617,,Osimertinib,AstraZeneca,"Non-small cell lung cancer, locally advanced or metatastic, EGFR T790M positive, 2nd line",Decision,Osimertinib,/apptracker/s/application-public/a102P000008ptxm,Oncology Agents and Immunosuppressants
a0ROZ00000BQQJv2AP,Palbociclib,A-00654,Ibrance,Palbociclib,Pfizer,"Breast cancer, locally advanced/metastatic, HER2negative, HRpositive, first-line endocrine treatment",Decision,Palbociclib (Ibrance),/apptracker/s/application-public/a102P000008puQd,Oncology Agents and Immunosuppressants
a0ROZ00000BQWxB2AX,Palbociclib,A-00748,Ibrance,Palbociclib,Consumer,"Breast cancer, locally advanced/metastatic, HER2negative, HRpositive, second-line endocrine treatment",Decision,Palbociclib (Ibrance),/apptracker/s/application-public/a102P000008puev,Oncology Agents and Immunosuppressants
a0R2P000000LmoQUAS,Pazopanib,A-01055,Votrient),Pazopanib,GlaxoSmithKline,"Renal cell carcinoma, advanced or metastatic - first-line or intolerant to sunitinib",Decision,Pazopanib (Votrient)),/apptracker/s/application-public/a102P000008pu18,Oncology Agents and Immunosuppressants
a0ROZ000009A8qT2AS,Pegylated liposomal doxorubicin,A-01285,Caelyx,Pegylated liposomal doxorubicin,Schering-Plough,Advanced epithelial ovarian cancer (3rd-line treatment) - platinum resistant,Options Compared,Pegylated liposomal doxorubicin (Caelyx),/apptracker/s/application-public/a102P000008ptxY,Oncology Agents and Immunosuppressants
a0R2P000000fjXYUAY,Pembrolizumab,A-00547,Keytruda,Pembrolizumab,Merck Sharp & Dohme,"Non small cell lung cancer, PDL1-positive, 1st line, monotherapy",Decision,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P000008pu56,Oncology Agents and Immunosuppressants
a0R2P000000UTlNUAW,Pembrolizumab,A-00401,Keytruda,Pembrolizumab,Merck Sharp & Dohme,Metastatic melanoma,Decision,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P000008puLx,Oncology Agents and Immunosuppressants
a0R2P000000OizCUAS,Pembrolizumab,A-00556,Keytruda,Pembrolizumab,Merck Sharp & Dohme,"Metastatic melanoma, amendment to access criteria",Decision,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P000008puUm,Oncology Agents and Immunosuppressants
a0R2P000000anYHUAY,Pembrolizumab,A-00647,Keytruda,Pembrolizumab,Merck Sharp & Dohme,"Urothelial carcinoma, locally advanced/metastatic, first-line, not eligible for cisplatin",Decision,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P000008puFJ,Oncology Agents and Immunosuppressants
a0ROZ000000Bhkn2AC,Pembrolizumab,A-03350 A-03473,Keytruda,Pembrolizumab,Consumer,Unresectable or metastatic cancers with microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) that have progressed after receiving previous treatment,Seeking Clinical Advice,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P00000ANEXw,Oncology Agents and Immunosuppressants
a0ROZ000001QcXJ2A0,Pembrolizumab,A-04138,KEYTRUDA - for first-line esophageal cancer,Pembrolizumab,MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,"Esophagus or gastroesophageal junction cancer, PD-L1 CPS≥10, locally advanced unresectable or metastatic, 1st line",Seeking Clinical Advice,Pembrolizumab (KEYTRUDA - for first-line esophageal cancer),/apptracker/s/application-public/a102P00000BNzRH,Oncology Agents and Immunosuppressants
a0ROZ000003Krcj2AC,Pembrolizumab,A-04435,Keytruda,Pembrolizumab,Consumer,"Pancreatic adenocarcinoma, metastatic MMR deficient, Stage 4",Seeking Clinical Advice,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P00000BW4LK,Oncology Agents and Immunosuppressants
a0ROZ00000BQXjZ2AX,Pembrolizumab,A-00615,,Pembrolizumab,Merck Sharp & Dohme,"Hodgkin's lymphoma, relapsed or refractory, post-auto transplantation",Decision,Pembrolizumab,/apptracker/s/application-public/a102P00000BLKJv,Oncology Agents and Immunosuppressants
a0ROZ000004obuv2AA,Pembrolizumab,A-00616 A-04436,Keytruda,Pembrolizumab,"Merck Sharp & Dohme, Consumer","Urothelial carcinoma, locally advanced or metastatic, 2nd line",Decision,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P000008pu1w,Oncology Agents and Immunosuppressants
a0ROZ00000BQXej2AH,Pembrolizumab,A-00615,,Pembrolizumab,Merck Sharp & Dohme,"Hodgkin's lymphoma, relapsed or refractory, ASCT ineligible patients",Decision,Pembrolizumab,/apptracker/s/application-public/a102P00000BLKJl,Oncology Agents and Immunosuppressants
a0ROZ000006xFvd2AE,Pembrolizumab,A-03548,KEYTRUDA,Pembrolizumab,MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,"Unresectable or metastatic colorectal cancer, microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR), 1st line",Decision,Pembrolizumab (KEYTRUDA),/apptracker/s/application-public/a102P00000B08gX,Oncology Agents and Immunosuppressants
a0ROZ000006xGEz2AM,Pembrolizumab,A-03548,KEYTRUDA - MSI-H CRC,Pembrolizumab,MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,"Unresectable or metastatic, microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) colorectal cancer (second line)",Decision,Pembrolizumab (KEYTRUDA - MSI-H CRC),/apptracker/s/application-public/a10OZ000002AWK1,Oncology Agents and Immunosuppressants
a0ROZ000008fdK92AI,Pembrolizumab,A-00757,Keytruda,Pembrolizumab,Merck Sharp & Dohme,"Melanoma, Resected Stage III, Adjuvant treatment",Decision,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P000008ptx2,Oncology Agents and Immunosuppressants
a0ROZ000008gK7N2AU,Pembrolizumab,A-04617 A-05087,Keytruda,Pembrolizumab,"MERCK SHARP & DOHME (NEW ZEALAND) LIMITED, Consumer",Biliary tract cancer,Options Compared,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P00000BajR0,Oncology Agents and Immunosuppressants
a0ROZ000009J4yn2AC,Pembrolizumab,A-00504,Keytruda,Pembrolizumab,Merck Sharp & Dohme,"Non small cell lung cancer, locally advanced or metastatic, PD-L1 positive, 2nd line",Decision,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P000008puZ2,Oncology Agents and Immunosuppressants
a0ROZ00000AcPPR2A3,pembrolizumab,A-05258,Keytruda,pembrolizumab,MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,advanced or recurrent endometrial cancer,Seeking Clinical Advice,pembrolizumab (Keytruda),/apptracker/s/application-public/a10OZ000005FVmz,Oncology Agents and Immunosuppressants
a0ROZ00000BP6C22AL,Pembrolizumab (subcutaneous),A-05483,KEYTRUDA SC,Pembrolizumab (subcutaneous),MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,All funded IV indications.,Seeking Clinical Advice,Pembrolizumab (subcutaneous) (KEYTRUDA SC),/apptracker/s/application-public/a10OZ000005TUe9,Oncology Agents and Immunosuppressants
a0ROZ000009A8qm2AC,Pembrolizumab Lenvatinib,A-04771 A-04983,Keytruda Lenvima,Pembrolizumab Lenvatinib,"MERCK SHARP & DOHME (NEW ZEALAND) LIMITED, Consumer","advanced clear cell renal cell carcinoma, first line",Options Compared,Pembrolizumab Lenvatinib (Keytruda Lenvima),/apptracker/s/application-public/a10OZ000000Ac41,Oncology Agents and Immunosuppressants
a0R2P000000LmegUAC,Pemetrexed Disodium,A-01107,Ailimta,Pemetrexed Disodium,Eli Lilly,"Malignant pleural mesothelioma, first line",Decision,Pemetrexed Disodium (Ailimta),/apptracker/s/application-public/a102P000008pttH,Oncology Agents and Immunosuppressants
a0R2P000000THmxUAG,Pertuzumab,A-00208,Perjeta,Pertuzumab,Roche,"Breast cancer; HER2 positive, metastatic, treatment naive",Decision,Pertuzumab (Perjeta),/apptracker/s/application-public/a102P000008ptrl,Oncology Agents and Immunosuppressants
a0ROZ00000BQLLp2AP,Pertuzumab (IV form),A-00623 A-05368,,Pertuzumab (IV form),"Roche, Consumer","Breast cancer, HER2-positive, locally advanced, inflammatory or early-stage, neoadjuvant treatment",Options Compared,Pertuzumab (IV form),/apptracker/s/application-public/a102P000008ptqk,Oncology Agents and Immunosuppressants
a0ROZ000003NweH2AS,"Pertuzumab and trastuzumab (SC, as PHESGO)",A-04334,PHESGO,"Pertuzumab and trastuzumab (SC, as PHESGO)",ROCHE PRODUCTS (NEW ZEALAND) LIMITED,"Breast cancer, HER2-positive, locally advanced, inflammatory or early-stage, neoadjuvant treatment",Options Compared,"Pertuzumab and trastuzumab (SC, as PHESGO) (PHESGO)",/apptracker/s/application-public/a102P00000BSgcX,Oncology Agents and Immunosuppressants
a0ROZ00000CHhhZ2AT,"Pertuzumab and trastuzumab (SC, as PHESGO)",A-04334,PHESGO,"Pertuzumab and trastuzumab (SC, as PHESGO)",ROCHE PRODUCTS (NEW ZEALAND) LIMITED,HER2-positive metastatic or locally recurrent unresectable breast cancer in combination with docetaxel,Decision,"Pertuzumab and trastuzumab (SC, as PHESGO) (PHESGO)",/apptracker/s/application-public/a102P00000BZPBk,Oncology Agents and Immunosuppressants
a0ROZ000004F3Uj2AK,Pomalidomide,A-00423,,Pomalidomide,Celgene,"Multiple myeloma, relapsed or refractory (4th line)",Decision,Pomalidomide,/apptracker/s/application-public/a102P000008puU1,Oncology Agents and Immunosuppressants
a0ROZ000004EtDj2AK,Pomalidomide,A-00423,,Pomalidomide,Celgene,"multiple myeloma, relapsed or refractory, 3rd line with bortezomib and dexamethasone",Decision,Pomalidomide,/apptracker/s/application-public/a102P00000BIsCX,Oncology Agents and Immunosuppressants
a0ROZ000004F3L32AK,Pomalidomide,A-00423,,Pomalidomide,Celgene,"multiple myeloma, relapsed or refractory, 3rd line with dexamethasone",Decision,Pomalidomide,/apptracker/s/application-public/a102P00000BIsCh,Oncology Agents and Immunosuppressants
a0ROZ000000B2Hp2AK,Ripretinib,A-04080,QINLOCK®,Ripretinib,SPECIALISED THERAPEUTICS LIMITED,For people with advanced metastatic or unresectable GIST who have experienced disease progression following treatment with imatinib and sunitinib,Options Compared,Ripretinib (QINLOCK®),/apptracker/s/application-public/a102P00000BNzPa,Oncology Agents and Immunosuppressants
a0R2P000000LmbsUAC,Siltuximab,A-00474,,Siltuximab,Janssen,HHV-8 negative Multicentric Castleman's disease,Decision,Siltuximab,/apptracker/s/application-public/a102P000008pu6o,Oncology Agents and Immunosuppressants
a0ROZ000000962z2AA,Sirolimus,A-01300,Rapamune,Sirolimus,Wyeth,Prophylaxis of renal transplant rejection,Decision,Sirolimus (Rapamune),/apptracker/s/application-public/a102P000008pudW,Oncology Agents and Immunosuppressants
a0ROZ000004CLZV2A4,Sorafenib,A-00905,Nexavar,Sorafenib,Bayer,"Hepatocellular carcinoma, advanced",Decision,Sorafenib (Nexavar),/apptracker/s/application-public/a102P000008pu69,Oncology Agents and Immunosuppressants
a0ROZ000004CXlt2AG,Sorafenib,A-00568,Nexavar,Sorafenib,Bayer,Renal Cell Carcinoma,Decision,Sorafenib (Nexavar),/apptracker/s/application-public/a102P000008puFg,Oncology Agents and Immunosuppressants
a0R2P000000anYQUAY,Sunitinib,A-00342,,Sunitinib,Pfizer,Pancreatic neuroendocrine tumour,Decision,Sunitinib,/apptracker/s/application-public/a102P000008pu6B,Oncology Agents and Immunosuppressants
a0R2P000000LmUUUA0,Sunitinib Malate,A-01328,Sutent,Sunitinib Malate,Pfizer,Metastatic Gastrointestinal Stromal Tumour (GIST) after failure of imatinib,Decision,Sunitinib Malate (Sutent),/apptracker/s/application-public/a102P000008puQc,Oncology Agents and Immunosuppressants
a0R2P000000LmeVUAS,Sunitinib Malate,A-01339,Sutent,Sunitinib Malate,Pfizer,Metastatic Renal Cell Carcinoma - poor and intermediate prognosis,Decision,Sunitinib Malate (Sutent),/apptracker/s/application-public/a102P000008ptt6,Oncology Agents and Immunosuppressants
a0ROZ0000007Xs52AE,Tacrolimus,A-01324,Tacrolimus Sandoz,Tacrolimus,Subcommittee recommendation,"Non-transplant patients requiring immunosuppression, after ciclosporin",Decision,Tacrolimus (Tacrolimus Sandoz),/apptracker/s/application-public/a102P000008puWh,Oncology Agents and Immunosuppressants
a0ROZ00000081i52AA,Temozolomide,A-01092,Temodal,Temozolomide,Schering-Plough,glioblastoma multiforme,Decision,Temozolomide (Temodal),/apptracker/s/application-public/a102P000008puZR,Oncology Agents and Immunosuppressants
a0R2P000000TFbWUAW,Temozolomide,A-00363,Temaccord,Temozolomide,Subcommittee recommendation,Neuroendocrine tumours,Decision,Temozolomide (Temaccord),/apptracker/s/application-public/a102P000008puG6,Oncology Agents and Immunosuppressants
a0R2P000000LmoVUAS,Thalidomide,A-00908,Thalidomide Pharmion,Thalidomide,Celgene,"Multiple myeloma, stem cell transplant eligible",Decision,Thalidomide (Thalidomide Pharmion),/apptracker/s/application-public/a102P000008ptrn,Oncology Agents and Immunosuppressants
a0R2P000000LmcGUAS,Thalidomide,A-00922,Thalidomide Pharmion,Thalidomide,Celgene,"First line Multiple myeloma, Stem cell transplant ineligible",Decision,Thalidomide (Thalidomide Pharmion),/apptracker/s/application-public/a102P000008pu7x,Oncology Agents and Immunosuppressants
a0ROZ00000C4Wbt2AF,Tislelizumab,A-05477,TEVIMBRA,Tislelizumab,BeOne Medicines NZ Unlimited,"Gastric/gastro-oesophageal junction adenocarcinoma, advanced or metastatic, HER2-negative, PD-L1 expression ≥5%, 1st line",Seeking Clinical Advice,Tislelizumab (TEVIMBRA),/apptracker/s/application-public/a10OZ000005Mosv,Oncology Agents and Immunosuppressants
a0ROZ0000003ph72AA,Tocilizumab,A-04466,Actemra,Tocilizumab,Consumer,polymyalgia rheumatica,Seeking Clinical Advice,Tocilizumab (Actemra),/apptracker/s/application-public/a102P00000BXHJR,Oncology Agents and Immunosuppressants
a0ROZ0000013VRh2AM,Tocilizumab SC,A-04619,Actemra,Tocilizumab SC,ROCHE PRODUCTS (NEW ZEALAND) LIMITED,giant cell arteritis (GCA) in adult patients.,Seeking Clinical Advice,Tocilizumab SC (Actemra),/apptracker/s/application-public/a102P00000BZUx7,Oncology Agents and Immunosuppressants
a0R2P000000Lmm7UAC,Trastuzumab,A-01228,Herceptin,Trastuzumab,Roche,early HER-2 positive breast cancer - 12 month regimen,Decision,Trastuzumab (Herceptin),/apptracker/s/application-public/a102P000008pujz,Oncology Agents and Immunosuppressants
a0ROZ0000006L092AE,Trastuzumab,A-01031,,Trastuzumab,Roche,"Gastric cancer, locally advanced or metastatic, HER2 positive",Decision,Trastuzumab,/apptracker/s/application-public/a102P000008ptrO,Oncology Agents and Immunosuppressants
a0ROZ0000001Knt2AE,Trastuzumab Biosimilar,A-00788,,Trastuzumab Biosimilar,Celltrion Healthcare New Zealand Limited,Multiple Indications,Decision,Trastuzumab Biosimilar,/apptracker/s/application-public/a102P000008ptrL,Oncology Agents and Immunosuppressants
a0ROZ00000BGaUN2A1,Trastuzumab deruxtecan,A-04789,Enhertu,Trastuzumab deruxtecan,ASTRAZENECA LIMITED,"breast cancer, unresectable or metastatic, HER2 low (IHC 1+ or IHC 2+ or ISH negative)",Options Compared,Trastuzumab deruxtecan (Enhertu),/apptracker/s/application-public/a10OZ000001A07q,Oncology Agents and Immunosuppressants
a0R2P000000YUgzUAG,Trastuzumab emtansine,A-03159,Kadcyla,Trastuzumab emtansine,ROCHE PRODUCTS (NEW ZEALAND) LIMITED,Adjuvant treatment of patients with HER2- positive early breast cancer who have residual disease after pre-operative systemic treatment that included HER2-targeted therapy. ,Decision,Trastuzumab emtansine (Kadcyla),/apptracker/s/application-public/a102P000009rn2n,Oncology Agents and Immunosuppressants
a0ROZ00000BQVg92AH,Trastuzumab emtansine,A-00600,,Trastuzumab emtansine,Roche,HER2+ metastatic breast cancer after prior trastuzumab and a taxane,Decision,Trastuzumab emtansine,/apptracker/s/application-public/a102P000008ptzl,Oncology Agents and Immunosuppressants
a0R2P000000Lmf1UAC,"Trastuzumab, subcutaneous",A-00328,Herceptin,"Trastuzumab, subcutaneous",Roche,"Breast cancer, same indication as IV trastuzumab",Options Compared,"Trastuzumab, subcutaneous (Herceptin)",/apptracker/s/application-public/a102P000008ptpR,Oncology Agents and Immunosuppressants
a0R2P000000ezAiUAI,Upadacitinib,A-00789,,Upadacitinib,AbbVie,"Rheumatoid arthritis, moderate to severe,1st line biologic",Under Assessment,Upadacitinib,/apptracker/s/application-public/a102P000008puia,Oncology Agents and Immunosuppressants
a0ROZ000006BuYD2A0,Upadacitinib,A-04146,RINVOQ®,Upadacitinib,ABBVIE LIMITED,"Psoriatic arthritis, 2nd line biologic",Options Compared,Upadacitinib (RINVOQ®),/apptracker/s/application-public/a102P00000BNnhH,Oncology Agents and Immunosuppressants
